course_name,url_classCentral,end_url,provider_slug,summary,duration,entity_url,type,source,language
CS50's Introduction to Computer Science,/course/computer-science-harvard-university-cs50-s-introd-442,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science,edx,An introduction to the intellectual enterprises of computer science and the art of programming.,"12 weeks, 6-18 hours a week",/university/harvard,free,classCentral,en
Introduction to Biology - The Secret of Life,/course/biology-massachusetts-institute-of-technology-int-637,https://www.edx.org/learn/biology/massachusetts-institute-of-technology-introduction-to-biology-the-secret-of-life,edx,"Explore the secret of life through the basics of biochemistry, genetics, molecular biology, recombinant DNA, genomics and rational medicine.",,/university/mit,free,classCentral,en
Computing in Python I: Fundamentals and Procedural Programming,/course/python-the-georgia-institute-of-technology-comput-11469,https://www.edx.org/learn/python/the-georgia-institute-of-technology-computing-in-python-i-fundamentals-and-procedural-programming,edx,"Learn the fundamentals of computing in Python, including variables, operators, and writing and debugging your own programs.","5 weeks, 9-10 hours a week",/university/gatech,free,classCentral,en
Product Management Fundamentals,/course/product-management-the-university-of-maryland-col-19098,https://www.edx.org/learn/product-management/the-university-of-maryland-college-park-product-management-fundamentals,edx,Understand the keys to successfully navigating the roles and responsibilities of being a product manager to champion change with internal and external collaborators and influencers,"4 weeks, 2-3 hours a week",/university/usmd,free,classCentral,en
Managing Conflicts on Projects with Cultural and Emotional Intelligence,/course/conflict-resolution-the-university-of-maryland-co-19747,https://www.edx.org/learn/conflict-resolution/the-university-of-maryland-college-park-managing-conflicts-on-projects-with-cultural-and-emotional-intelligence,edx,Great program managers understand and heal bad communication habits and conflicts that arise within project teams and stakeholders. Learn how by leveraging emotional and cultural intelligence using the Coordinated Management of Meaning (CMM).,"5 weeks, 3-5 hours a week",/university/usmd,free,classCentral,en
Agile Leadership Principles and Practices,/course/agile-the-university-of-maryland-college-park-agi-11920,https://www.edx.org/learn/agile/the-university-of-maryland-college-park-agile-leadership-principles-and-practices,edx,"Accelerate and improve team decisions by learning Agile’s facilitating leadership principles to unleash team productivity, motivation, and problem solving.","4 weeks, 2-3 hours a week",/university/usmd,free,classCentral,en
Agile Innovation and Problem Solving Skills,/course/agile-the-university-of-maryland-college-park-agi-11919,https://www.edx.org/learn/agile/the-university-of-maryland-college-park-agile-innovation-and-problem-solving-skills,edx,Learn how to deliver greater value through Agile solution targeting and theory of constraints that unleash your team's innovative potential.,"4 weeks, 2-3 hours a week",/university/usmd,free,classCentral,en
Applied Scrum for Agile Project Management,/course/scrum-the-university-of-maryland-college-park-app-11917,https://www.edx.org/learn/scrum/the-university-of-maryland-college-park-applied-scrum-for-agile-project-management,edx,"Learn the project management processes, roles, mechanics, and philosophies behind Scrum, the simplest and most pure approach to managing work at the team level.","4 weeks, 2-3 hours a week",/university/usmd,free,classCentral,en
"Agile Process, Project, and Program Controls",/course/agile-the-university-of-maryland-college-park-agi-11921,https://www.edx.org/learn/agile/the-university-of-maryland-college-park-agile-process-project-and-program-controls,edx,"Learn Agile controls that get work done with confidence by using true transparency (actuals not estimates) and continuous improvement to ensure your people, process, and products deliver valuable, working solutions.","4 weeks, 2-3 hours a week",/university/usmd,free,classCentral,en
Sprint Planning for Faster Agile Team Delivery,/course/agile-the-university-of-maryland-college-park-spr-11918,https://www.edx.org/learn/agile/the-university-of-maryland-college-park-sprint-planning-for-faster-agile-team-delivery,edx,"Drive speed into any project with prioritized backlogs, limiting work-in-process, and engaging the entire agile team in effective sprint planning.","4 weeks, 2-3 hours a week",/university/usmd,free,classCentral,en
Marketing Digital: Content & Community Manager,/course/digital-marketing-universidad-galileo-marketing-d-10386,https://www.edx.org/learn/digital-marketing/universidad-galileo-marketing-digital-content-community-manager,edx,"Aprende a crear estrategias de marketing de contenidos y domina Facebook, Instagram, YouTube, Twitter y más. Mide KPIs y obten resultados.","5 weeks, 3-4 hours a week",/university/galileo,free,classCentral,en
Basic Spanish 1: Getting Started,/course/language-universitat-politecnica-de-valencia-basi-3698,https://www.edx.org/learn/language/universitat-politecnica-de-valencia-basic-spanish-1-getting-started,edx,"Learn Spanish and explore Spanish culture in this introductory language course, designed for English speakers.","7 weeks, 4-5 hours a week",/university/upv,free,classCentral,en
"Nutrition, Exercise and Sports",/course/nutrition-wageningen-university-research-nutritio-14381,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-exercise-and-sports,edx,"Learn about Nutrition, Exercise and Sports and understand how nutrition can support exercise and sports performance.","6 weeks, 4-8 hours a week",/university/wageningenur,free,classCentral,en
Nutrition and Health: Micronutrients and Malnutrition,/course/nutrition-wageningen-university-research-nutritio-3643,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-micronutrients-and-malnutrition,edx,"Learn from the top professors of Wageningen University &amp; Research about malnutrition and micronutrients and how they impact your health. This online course is offered as a MOOC, and is part of the Professional Certificate Pogramme: Nutrition and Heal…","7 weeks, 6-8 hours a week",/university/wageningenur,free,classCentral,en
Nutrition and Health: Macronutrients and Overnutrition,/course/nutrition-wageningen-university-research-nutritio-2154,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-macronutrients-and-overnutrition,edx,"Learn from the top professors of Wageningen University &amp; Research about macronutrients and overnutrition and how they impact humans. This online course is offered as a MOOC, and is part of the Professional Certificate Pogramme: Nutrition and Health.","9 weeks, 6-8 hours a week",/university/wageningenur,free,classCentral,en
Nutrition and Health: Food Safety,/course/nutrition-wageningen-university-research-nutritio-5157,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-food-safety,edx,"Learn about bacteria, pesticides and health hazards present in food. This online course is offered as a MOOC which means that you can study at your own pace, at your own time and anywhere you want.","8 weeks, 6-8 hours a week",/university/wageningenur,free,classCentral,en
Sustainable Tourism: Society & Environmental Aspects,/course/sustainability-wageningen-university-research-sus-10356,https://www.edx.org/learn/sustainability/wageningen-university-research-sustainable-tourism-society-environmental-aspects,edx,"Explore the societal and environmental impacts of tourism in this 6-week course by Wageningen University. Learn about sustainable practices, history, and the effects of global events on tourism.","6 weeks, 5-7 hours a week",/university/wageningenur,free,classCentral,en
