course_name,url_classCentral,end_url,provider_slug,summary,duration,entity_url,type,source,language
Software Testing Simple (Software Quality Assurance QA),/course/udemy-software-testing-simple-36935,https://www.udemy.com/course/software-testing-simple/,udemy,Easiest practical Testing course on the market that will explain you what is QA and testing and what QAs are doing!,3 hours 9 minutes,/provider/udemy,free,classCentral,en
Create and use analytics reports with Power BI,/course/microsoft-learn-create-and-use-analytics-reports-with-power-bi-62184,https://learn.microsoft.com/en-us/training/paths/create-use-analytics-reports-power-bi/,microsoft-learn,"Master data analytics with Microsoft's Power BI in this 6-7 hour course. Learn to connect data sources, create visuals, build dashboards, and share insightful reports within your organization.",5 hours 56 minutes,/institution/microsoft,free,classCentral,en
Introduction to Generative AI,/course/introduction-to-generative-ai-199878,https://www.cloudskillsboost.google/course_templates/536,cloudskillsboost,"Learn the basics of Generative AI and its applications with Google's 45-minute introductory course, including how to develop Gen AI apps using Google Tools.",45 minutes,/institution/google,free,classCentral,en
Introduction to cyber security: stay safe online,/course/openlearn-science-maths-technology-introduction-cyber-security-stay-safe-online-95542,https://www.open.edu/openlearn/digital-computing/introduction-cyber-security-stay-safe-online/content-section-overview,openlearn,"This free course, Introduction to cyber security: stay safe online, will help you to understand online security and start to protect your digital life, whether at home or work. You will learn how ...",24 hours,/university/tou,free,classCentral,en
Understanding Dementia,/course/independent-understanding-dementia-981,https://mooc.utas.edu.au/landing/udwp,independent,"Explore dementia with the University of Tasmania in a 7-week course. Learn about brain anatomy, dementia diseases, and patient care from 18 experts, with interactive activities and quizzes.","7 weeks, 3 hours a week",/university/utas,free,classCentral,en
Spinach and Ricotta Gnudi,/course/craftsy-spinach-and-ricotta-gnudi-114862,https://www.craftsy.com/class/spinach-and-ricotta-gnudi/,craftsy,"If you&rsquo;re a fan of homemade pasta but are intimidated by the lengthy process or specialty tools required, these pillowy ricotta, parmesan, and spinach packed gnudi will make you swoon. Celeste&rsquo;s method using the GoodCook Everyday 10-piece non…",,/provider/craftsy,free,classCentral,en
How to Advertise on Pinterest: Social Media Training,/course/creativelive-how-advertise-pinterest-pinterest-128622,https://www.creativelive.com/class/how-advertise-pinterest-pinterest,creativelive,How to Advertise on Pinterest: Social Media Training with Pinterest,1 hour 20 minutes,/provider/creativelive,free,classCentral,en
. ANIMATIONs,/course/swayam-animations-13880,https://onlinecourses.swayam2.ac.in/cec24_cs02/preview,swayam,"In this course we explore animation across a variety of platforms including film, television, advertising, web, motion capture and game design. This course will provide the opportunity for students to develop their transferable employability and professi…",15 weeks,/university/bhui,free,classCentral,en
Critical Thinking at University: An Introduction,/course/critical-thinking-at-university-12273,https://www.futurelearn.com/courses/critical-thinking-at-university,futurelearn,Critical thinking is a vital skill for university study whatever your discipline. Prepare for university now.,"2 weeks, 4 hours a week",/university/leeds,free,classCentral,en
CS50's Introduction to Computer Science,/course/computer-science-harvard-university-cs50-s-introd-442,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-introduction-to-computer-science,edx,An introduction to the intellectual enterprises of computer science and the art of programming.,"12 weeks, 6-18 hours a week",/university/harvard,free,classCentral,en
